ano;semana_epidemiologica;fecha_inicio_semana_epidemiologica;grupo_etario;departamento_residencia;n_notificaciones;n_confirmados_probables_fis;n_confirmados_por_laboratorio;n_internados_fecha_internacion;n_internados_uti_fecha_internacion;n_fallecidos_confirmados_por_laboratorio
2022;27;2022-07-03;[40,50);COMUNA 15;1;0;0;0;0;0
2022;28;2022-07-10;[40,50);COMUNA 15;1;0;0;0;0;0
2022;28;2022-07-10;[20,30);COMUNA 5;1;0;0;0;0;0
2022;28;2022-07-10;[40,50);COMUNA 7;1;0;0;0;0;0
2022;31;2022-07-31;[30,40);COMUNA 6;1;0;0;0;0;0
2022;31;2022-07-31;[50,60);SIN DATOS;1;0;0;0;0;0
2022;32;2022-08-07;[60,70);COMUNA 11;1;0;0;0;0;0
2022;33;2022-08-14;[20,30);COMUNA 4;1;0;0;0;0;0
2022;36;2022-09-04;[60,70);COMUNA 4;1;0;0;0;0;0
2022;37;2022-09-11;[30,40);COMUNA 6;1;0;0;0;0;0
2022;38;2022-09-18;[50,60);COMUNA 1;1;0;0;0;0;0
2022;38;2022-09-18;[0,10);COMUNA 11;1;0;0;0;0;0
2022;38;2022-09-18;[20,30);COMUNA 14;1;0;0;0;0;0
2022;39;2022-09-25;[20,30);COMUNA 10;1;0;0;0;0;0
2022;39;2022-09-25;[60,70);COMUNA 14;1;0;0;0;0;0
2022;39;2022-09-25;[30,40);COMUNA 2;1;0;0;0;0;0
2022;39;2022-09-25;[30,40);COMUNA 5;1;0;0;0;0;0
2022;39;2022-09-25;[10,20);COMUNA 6;1;0;0;0;0;0
2022;39;2022-09-25;[10,20);COMUNA 8;1;0;0;0;0;0
2022;39;2022-09-25;[10,20);COMUNA 9;1;0;0;0;0;0
2022;41;2022-10-09;[50,60);COMUNA 10;1;0;0;0;0;0
2022;42;2022-10-16;[30,40);COMUNA 14;1;0;0;0;0;0
2022;42;2022-10-16;[20,30);COMUNA 5;1;0;0;0;0;0
2022;42;2022-10-16;[30,40);COMUNA 5;1;0;0;0;0;0
2022;44;2022-10-30;[30,40);COMUNA 1;1;0;0;0;0;0
2022;44;2022-10-30;[30,40);COMUNA 14;1;0;0;0;0;0
2022;44;2022-10-30;[10,20);COMUNA 5;1;0;0;0;0;0
2022;45;2022-11-06;[30,40);COMUNA 14;1;0;0;0;0;0
2022;45;2022-11-06;[40,50);COMUNA 5;1;0;0;0;0;0
2022;45;2022-11-06;[20,30);COMUNA 7;1;0;0;0;0;0
2022;45;2022-11-06;[0,10);SIN DATOS;1;0;0;0;0;0
2022;45;2022-11-06;[20,30);SIN DATOS;1;0;0;0;0;0
2022;46;2022-11-13;[20,30);COMUNA 14;1;0;0;0;0;0
2022;46;2022-11-13;[30,40);COMUNA 5;1;0;0;0;0;0
2022;46;2022-11-13;[20,30);COMUNA 7;1;0;0;0;0;0
2022;46;2022-11-13;[40,50);SIN DATOS;1;0;0;0;0;0
2022;47;2022-11-20;[20,30);COMUNA 7;1;0;0;0;0;0
2022;47;2022-11-20;[0,10);SIN DATOS;1;0;0;0;0;0
2022;48;2022-11-27;[40,50);COMUNA 13;1;1;1;0;0;0
2022;48;2022-11-27;[30,40);COMUNA 2;1;0;0;0;0;0
2022;48;2022-11-27;[10,20);COMUNA 4;1;0;0;0;0;0
2022;48;2022-11-27;[10,20);SIN DATOS;1;0;0;0;0;0
2022;49;2022-12-04;[10,20);COMUNA 13;1;0;0;0;0;0
2022;49;2022-12-04;[40,50);COMUNA 13;2;0;0;0;0;0
