fecha,hora,triage_cantidad
29OCT2020,16,7
29OCT2020,15,4
29OCT2020,14,2
29OCT2020,13,4
29OCT2020,12,1
29OCT2020,11,2
29OCT2020,10,5
29OCT2020,9,10
29OCT2020,8,1
29OCT2020,6,1
29OCT2020,5,1
29OCT2020,4,1
29OCT2020,3,2
29OCT2020,1,3
29OCT2020,0,1
28OCT2020,23,1
28OCT2020,22,1
28OCT2020,21,3
28OCT2020,20,4
28OCT2020,19,2
28OCT2020,18,4
28OCT2020,17,1
28OCT2020,16,1
28OCT2020,15,6
28OCT2020,14,5
28OCT2020,13,2
28OCT2020,12,4
28OCT2020,11,4
28OCT2020,10,5
28OCT2020,9,1
28OCT2020,8,6
28OCT2020,7,1
28OCT2020,6,1
28OCT2020,4,1
28OCT2020,2,2
28OCT2020,0,4
27OCT2020,23,6
27OCT2020,22,4
27OCT2020,21,5
27OCT2020,20,1
27OCT2020,19,4
27OCT2020,18,4
27OCT2020,17,4
27OCT2020,16,5
27OCT2020,15,3
27OCT2020,14,3
27OCT2020,13,6
27OCT2020,12,6
27OCT2020,11,3
27OCT2020,10,4
27OCT2020,9,1
27OCT2020,8,1
27OCT2020,7,1
27OCT2020,6,1
27OCT2020,2,1
27OCT2020,1,3
27OCT2020,0,1
26OCT2020,22,2
26OCT2020,21,2
26OCT2020,20,1
26OCT2020,19,3
26OCT2020,18,2
26OCT2020,17,2
26OCT2020,16,4
26OCT2020,15,8
26OCT2020,14,9
26OCT2020,13,8
26OCT2020,12,3
26OCT2020,11,5
26OCT2020,10,4
26OCT2020,9,4
26OCT2020,8,2
26OCT2020,7,1
26OCT2020,5,1
26OCT2020,3,1
26OCT2020,2,1
26OCT2020,0,1
25OCT2020,23,1
25OCT2020,22,3
25OCT2020,21,4
25OCT2020,20,2
25OCT2020,19,2
25OCT2020,18,3
25OCT2020,17,1
25OCT2020,16,4
25OCT2020,15,3
25OCT2020,14,1
25OCT2020,13,2
25OCT2020,11,1
25OCT2020,10,3
25OCT2020,6,1
25OCT2020,2,2
25OCT2020,1,1
25OCT2020,0,2
24OCT2020,23,2
24OCT2020,22,2
24OCT2020,21,1
24OCT2020,20,2
24OCT2020,19,6
24OCT2020,18,5
24OCT2020,17,5
24OCT2020,16,1
24OCT2020,15,2
24OCT2020,14,3
24OCT2020,13,4
24OCT2020,12,4
24OCT2020,11,1
24OCT2020,10,4
24OCT2020,9,2
24OCT2020,5,1
24OCT2020,1,3
24OCT2020,0,1
23OCT2020,23,5
23OCT2020,22,5
23OCT2020,21,2
23OCT2020,20,2
23OCT2020,19,2
23OCT2020,18,5
23OCT2020,17,6
23OCT2020,16,2
23OCT2020,15,6
23OCT2020,14,1
23OCT2020,13,5
23OCT2020,12,4
23OCT2020,11,3
23OCT2020,10,5
23OCT2020,9,2
23OCT2020,8,1
23OCT2020,4,1
23OCT2020,1,4
22OCT2020,23,1
22OCT2020,22,4
22OCT2020,21,4
22OCT2020,20,9
22OCT2020,19,3
22OCT2020,18,3
22OCT2020,17,3
22OCT2020,16,2
22OCT2020,15,5
22OCT2020,14,4
22OCT2020,13,6
22OCT2020,12,2
22OCT2020,11,2
22OCT2020,10,2
22OCT2020,9,1
22OCT2020,8,2
22OCT2020,5,2
22OCT2020,2,1
22OCT2020,1,1
21OCT2020,22,2
21OCT2020,21,4
21OCT2020,20,5
21OCT2020,19,1
21OCT2020,18,4
21OCT2020,17,1
21OCT2020,16,5
21OCT2020,15,8
21OCT2020,14,1
21OCT2020,13,4
21OCT2020,12,3
21OCT2020,11,1
21OCT2020,10,3
21OCT2020,9,1
21OCT2020,7,1
21OCT2020,1,1
21OCT2020,0,2
20OCT2020,23,2
16OCT2020,23,6
16OCT2020,22,2
16OCT2020,21,3
16OCT2020,20,8
16OCT2020,19,4
16OCT2020,18,3
16OCT2020,17,2
16OCT2020,16,6
16OCT2020,15,22
16OCT2020,14,27
16OCT2020,13,30
16OCT2020,12,16
16OCT2020,11,17
16OCT2020,10,24
16OCT2020,9,15
16OCT2020,8,7
16OCT2020,7,4
16OCT2020,6,1
16OCT2020,5,1
16OCT2020,4,1
16OCT2020,3,2
16OCT2020,2,3
16OCT2020,1,3
16OCT2020,0,19
15OCT2020,23,6
15OCT2020,22,16
15OCT2020,21,20
15OCT2020,20,19
15OCT2020,19,28
15OCT2020,18,18
15OCT2020,17,28
15OCT2020,16,16
15OCT2020,15,26
15OCT2020,14,33
15OCT2020,13,20
15OCT2020,12,21
15OCT2020,11,26
15OCT2020,10,17
15OCT2020,9,14
15OCT2020,8,10
15OCT2020,7,7
15OCT2020,6,3
15OCT2020,5,1
15OCT2020,4,4
15OCT2020,3,1
15OCT2020,2,1
15OCT2020,1,7
15OCT2020,0,6
14OCT2020,23,3
14OCT2020,22,10
14OCT2020,21,13
14OCT2020,20,13
14OCT2020,19,15
14OCT2020,18,20
14OCT2020,17,18
14OCT2020,16,22
14OCT2020,15,11
14OCT2020,14,22
14OCT2020,13,20
14OCT2020,12,19
14OCT2020,11,25
14OCT2020,10,33
14OCT2020,9,15
14OCT2020,8,11
14OCT2020,7,8
14OCT2020,6,2
14OCT2020,5,3
14OCT2020,3,3
14OCT2020,1,5
14OCT2020,0,12
13OCT2020,23,10
13OCT2020,22,11
13OCT2020,21,11
13OCT2020,20,13
13OCT2020,19,20
13OCT2020,18,14
13OCT2020,17,15
13OCT2020,16,21
13OCT2020,15,11
13OCT2020,14,26
13OCT2020,13,15
13OCT2020,12,30
13OCT2020,11,21
13OCT2020,10,18
13OCT2020,9,15
13OCT2020,8,14
13OCT2020,7,8
13OCT2020,6,5
13OCT2020,5,2
13OCT2020,4,3
13OCT2020,3,1
13OCT2020,2,4
