;indice_tiempo;destino_caba;destino_cordoba;destino_cuyo;destino_litoral;destino_norte;destino_patagonia;destino_pba_resto;destino_pba_partidos_del_gba;edad_menos_de_14_anos;edad_14_a_29_anos;edad_30_a_44_anos;edad_45_a_59_anos;edad_60_anos_o_mas;edad_ns_nr;motivo_vacaciones_ocio;motivo_visita_a_familiares_y_amigos;motivo_trabajo_negocios;motivo_otros;origen_caba;origen_cordoba;origen_cuyo;origen_litoral;origen_norte;origen_patagonia;origen_pba_resto;origen_pba_partidos_del_gba;quintil_quintiles_1_y_2;quintil_quintiles_3_y_4;quintil_quintil_5;sexo_mujer;sexo_varon;alojamiento_segunda_vivienda_del_hogar;alojamiento_vivienda_de_familiares_y_amigos;alojamiento_vivienda_alquilada_por_temporada;alojamiento_camping;alojamiento_hotel_o_similar_hasta_3_estrellas;alojamiento_hotel_similar_4_o_5_estrellas;alojamiento_resto;transporte_automovil;transporte_omnibus;transporte_avion;transporte_otros;pernoctaciones_caba;pernoctaciones_pba_resto;pernoctaciones_pba_partidos_del_gba;pernoctaciones_cordoba;pernoctaciones_litoral;pernoctaciones_norte;pernoctaciones_cuyo;pernoctaciones_patagonia;gasto_medio_caba;gasto_medio_pba_resto;gasto_medio_pba_partidos_del_gba;gasto_medio_cordoba;gasto_medio_litoral;gasto_medio_norte;gasto_medio_cuyo;gasto_medio_patagonia;estadia_media_caba;estadia_media_pba_resto;estadia_media_pba_partidos_del_gba;estadia_media_cordoba;estadia_media_litoral;estadia_media_norte;estadia_media_cuyo;estadia_media_patagonia
0;2012-01-01;189534;1918573;838633;2049231;1331848;937769;5075668;132610;2700561;3143845;3234308;2126707;1268445;0.0;9154502;3020310;174990;124064;2080971;1130606;854499;1767590;1266327;708355;697953;3967565;2758449;5355884;4359533;6398490;6075376;1976148;4489645;2261466;1101861.0;2180408;381415;82923;8439141;3325297;305923;403505;1055309;42696919;952624;13929935;10340905;10672898;5913219;8491224;1229.73291;1134.88307;742.48109;1185.42628;648.42487;777.49528;988.38524;1260.92633;5.57;8.41;7.18;7.26;5.05;8.01;7.05;9.05
1;2012-01-04;275725;743680;362199;1502444;813177;263315;1402536;61388;957231;1296808;1377356;1021227;771842;0.0;2637206;2359631;263949;163678;813809;482237;300654;1124540;729555;262590;528724;1182355;1284712;2198316;1941436;2792112;2632352;1040444;2683201;227638;225442.0;1078891;129330;39518;3667828;1440955;174272;141409;1243865;4824973;252080;4551188;4954547;3547000;1367199;1404052;985.50199;508.77235;667.1248;901.81379;638.89738;705.35588;901.52479;1254.95557;4.51;3.44;4.11;6.12;3.3;4.36;3.77;5.33
2;2012-01-07;360368;596352;475912;1107905;896399;444811;1501835;101282;1221911;1171650;1451129;969841;670333;0.0;2803653;2128166;370186;182859;842686;356709;333455;790472;756656;253390;470616;1680880;1234827;2037272;2212765;2672376;2812488;794546;2617789;163214;230254.0;1323383;267781;87897;3271562;1740126;262292;210884;2239476;4634291;639461;2583719;4976984;4825965;2078608;2617913;1186.17697;569.42677;759.13558;1183.3592;1028.23987;1169.77733;1007.79172;1542.05071;6.21;3.09;6.31;4.33;4.49;5.38;4.37;5.89
3;2012-01-10;189002;1007641;512563;1018847;979211;379846;1762021;98255;1172970;1295468;1569272;1113744;795932;0.0;3188562;2150249;364930;243645;943024;630517;480597;839347;877101;281958;517222;1377620;1450369;2000033;2496984;3165318;2782068;1033366;2488640;168626;570121.0;1395381;268396;22856;3951814;1604279;215354;175939;1069432;5654571;395116;3818051;3503089;3639734;1698070;2563652;2222.32305;634.1669;832.69668;763.42694;850.82968;612.81648;742.53016;1668.32983;5.66;3.21;4.02;3.79;3.44;3.72;3.31;6.75
4;2013-01-01;165441;1893574;824501;1715615;1161820;707719;4632993;167877;2604040;2663484;2871365;1911014;1219637;0.0;7627832;3248772;198225;194711;1933362;987922;640054;1371996;1085913;620510;772761;3857022;2633196;4826966;3809378;5565913;5703627;1474101;4477698;1865890;940048.0;2174678;287000;50125;7863973;2904756;196258;304553;954590;40370811;1308689;13681936;11728908;11483617;6349516;5862734;1461.59812;1304.97647;777.5187;1286.57073;1094.35542;1147.69795;1089.95163;1899.84317;5.77;8.71;7.8;7.23;6.84;9.88;7.7;8.28
5;2013-01-04;239649;882575;521508;1091363;936854;402021;1535179;63118;942360;1281520;1410716;1058601;979070;0.0;2543386;2634997;273142;220742;923067;616280;422015;767392;813497;229798;491218;1409000;999453;2326289;2346525;2846659;2825608;926553;2851861;208483;173138.0;1265232;198805;48195;3833576;1595979;210270;32442;1541396;5784775;418294;3009053;3979101;4518664;1708261;2362714;1490.78517;634.48834;656.10629;828.12825;894.89632;777.25834;894.35477;1793.94254;6.43;3.77;6.63;3.41;3.65;4.82;3.28;5.88
6;2013-01-07;315882;788240;774152;1338607;1209881;529787;1564734;72473;1341895;1512696;1503018;1288599;947548;0.0;2995025;3125613;257636;215482;1101309;509140;525840;903526;966129;323788;522374;1741650;1323883;2501370;2768503;3358131;3235625;1050284;3569233;181556;107885.0;1412547;239513;32738;4503526;1661651;360982;67597;1578384;4860153;363303;3070165;5670181;5557694;4282178;3124918;1545.09353;750.07629;464.40498;1060.46138;995.51362;1050.88299;1352.2918;2681.38977;5.0;3.11;5.01;3.89;4.24;4.59;5.53;5.9
7;2013-01-10;372960;882733;251513;1485133;730048;495526;2342592;146755;1382380;1532477;1469291;1365256;957856;0.0;3083436;3037123;311386;275315;1045909;558504;207745;1153863;725144;349399;626753;2039943;1327307;2895702;2484251;3437593;3269667;1009511;3317486;301885;364143.0;1417317;261167;35751;4540084;1789341;264748;113087;2835575;8778252;880886;3575925;4495522;3242066;1095277;2421699;1391.23326;850.45037;636.20361;1144.64964;753.88536;975.97526;1681.04638;1940.78291;7.6;3.75;6.0;4.05;3.03;4.44;4.35;4.89
8;2014-01-01;233497;1743367;692755;1986193;948347;932115;5025128;91212;2706215;2625431;2860387;2030539;1430042;0.0;6889530;4403179;224075;135830;2043910;944738;594975;1740007;914573;618364;699288;4096759;2592587;4949308;4110719;5976850;5675764;1067770;5545719;1669987;761752.0;2331095;261195;15096;7851841;3241993;381165;177615;1589219;41525574;860855;13103185;10071088;6682888;4946687;7805483;2216.96606;1799.80925;1597.72414;1759.68125;1326.47026;1280.66764;1786.69471;2812.81824;6.81;8.26;9.44;7.52;5.07;7.05;7.14;8.37
9;2014-01-04;185194;803719;400685;1144188;759658;294178;1848024;32399;1006238;1334491;1239219;1035445;852652;0.0;2532558;2568947;127602;238938;963397;575157;345484;934634;565080;224065;446229;1413999;993096;2415943;2059006;2741352;2726693;1015146;2693090;177122;180090.0;1283379;104376;14842;3841455;1329290;228400;68900;1046256;7134639;189558;2852831;4285983;3055671;1591648;1451269;2290.02434;1009.86392;875.78237;973.84644;1171.81499;1648.09976;1309.19968;2284.67543;5.65;3.86;5.85;3.55;3.75;4.02;3.97;4.93
