FECHA_ADMINISTRACION,GRUPO_ETARIO,GENERO,VACUNA,TIPO_EFECTOR,DOSIS_1,DOSIS_2,DOSIS_3
2021-01-15,30 o menos,F,Sputnik,Privado,157,0,0
2021-01-15,30 o menos,F,Sputnik,Público,255,0,0
2021-01-15,30 o menos,F,Sputnik,Público nacional,37,0,0
2021-01-15,30 o menos,M,Sputnik,Privado,69,0,0
2021-01-15,30 o menos,M,Sputnik,Público,130,0,0
2021-01-15,30 o menos,M,Sputnik,Público nacional,16,0,0
2021-01-15,31 a 40,F,Sputnik,Privado,251,0,0
2021-01-15,31 a 40,F,Sputnik,Público,469,0,0
2021-01-15,31 a 40,F,Sputnik,Público nacional,50,0,0
2021-01-15,31 a 40,M,Sputnik,Privado,160,0,0
2021-01-15,31 a 40,M,Sputnik,Público,278,0,0
2021-01-15,31 a 40,M,Sputnik,Público nacional,27,0,0
2021-01-15,41 a 50,F,Sputnik,Privado,164,0,0
2021-01-15,41 a 50,F,Sputnik,Público,396,0,0
2021-01-15,41 a 50,F,Sputnik,Público nacional,51,0,0
2021-01-08,41 a 50,F,Sputnik,Público nacional,14,0,0
2021-01-08,41 a 50,M,Sputnik,Privado,18,0,0
2021-01-08,41 a 50,M,Sputnik,Público,169,0,0
2021-01-08,41 a 50,M,Sputnik,Público nacional,4,0,0
2021-01-08,51 a 60,F,Sputnik,Privado,14,0,0
2021-01-08,51 a 60,F,Sputnik,Público,182,0,0
2021-01-08,51 a 60,F,Sputnik,Público nacional,8,0,0
2021-01-08,51 a 60,M,Sputnik,Privado,16,0,0
2021-01-08,51 a 60,M,Sputnik,Público,102,0,0
2021-01-08,51 a 60,M,Sputnik,Público nacional,5,0,0
2021-01-08,61 a 70,F,Sputnik,Público,3,0,0
2021-01-08,61 a 70,M,Sputnik,Público,4,0,0
2021-01-08,61 a 70,M,Sputnik,Público nacional,1,0,0
2021-01-09,30 o menos,F,Sputnik,Privado,3,0,0
2021-01-09,30 o menos,F,Sputnik,Público,24,0,0
2021-01-09,30 o menos,F,Sputnik,Público nacional,13,0,0
2021-01-09,30 o menos,M,Sputnik,Privado,1,0,0
2021-01-09,30 o menos,M,Sputnik,Público,10,0,0
2021-01-09,30 o menos,M,Sputnik,Público nacional,3,0,0
2021-01-09,31 a 40,F,Sputnik,Privado,4,0,0
2021-01-09,31 a 40,F,Sputnik,Público,81,0,0
2021-01-09,31 a 40,F,Sputnik,Público nacional,17,0,0
2021-01-09,31 a 40,M,Sputnik,Privado,9,0,0
2021-01-09,31 a 40,M,Sputnik,Público,50,0,0
2021-01-09,31 a 40,M,Sputnik,Público nacional,11,0,0
2021-02-14,31 a 40,M,Sputnik,Público,0,1,0
2021-02-14,41 a 50,F,Sputnik,Privado,1,7,0
2021-02-14,41 a 50,F,Sputnik,Público,0,2,0
2021-02-14,51 a 60,M,Sputnik,Privado,0,1,0
2021-02-14,51 a 60,M,Sputnik,Público,0,1,0
2021-02-16,30 o menos,F,Sputnik,Público nacional,0,1,0
2021-02-16,30 o menos,M,Sputnik,Público nacional,0,1,0
2021-02-16,31 a 40,F,Sputnik,Privado,3,5,0
2021-02-16,31 a 40,F,Sputnik,Público,0,4,0
2021-02-16,31 a 40,F,Sputnik,Público nacional,0,6,0
2021-02-16,31 a 40,M,Sputnik,Privado,2,4,0
2021-02-16,31 a 40,M,Sputnik,Público nacional,0,2,0
2021-02-16,41 a 50,F,Sputnik,Privado,1,6,0
2021-02-16,41 a 50,F,Sputnik,Público,0,2,0
2021-02-16,41 a 50,F,Sputnik,Público nacional,0,5,0
2021-02-16,41 a 50,M,Sputnik,Público nacional,0,2,0
2021-02-16,51 a 60,F,Sputnik,Público nacional,0,3,0
2021-02-17,30 o menos,F,Sputnik,Privado,70,10,0
2021-02-17,30 o menos,F,Sputnik,Público,110,18,0
2021-02-17,30 o menos,F,Sputnik,Público nacional,14,8,0
2021-02-17,30 o menos,M,Sputnik,Privado,58,4,0
2021-02-17,30 o menos,M,Sputnik,Público,42,9,0
2021-02-17,30 o menos,M,Sputnik,Público nacional,9,8,0
2021-02-17,31 a 40,F,Sputnik,Privado,152,20,0
2021-02-17,31 a 40,F,Sputnik,Público,194,47,0
2021-02-17,31 a 40,F,Sputnik,Público nacional,30,14,0
2021-02-17,31 a 40,M,Sputnik,Privado,84,11,0
2021-02-17,31 a 40,M,Sputnik,Público,104,26,0
2021-02-17,31 a 40,M,Sputnik,Público nacional,18,7,0
2021-02-17,41 a 50,F,Sputnik,Privado,136,7,0
2021-02-17,41 a 50,F,Sputnik,Público,204,48,0
2021-02-17,41 a 50,F,Sputnik,Público nacional,29,11,0
2021-02-17,41 a 50,M,Sputnik,Privado,48,7,0
2021-02-17,41 a 50,M,Sputnik,Público,87,18,0
2021-02-17,41 a 50,M,Sputnik,Público nacional,5,5,0
2021-02-17,51 a 60,F,Sputnik,Privado,55,3,0
2021-02-17,51 a 60,F,Sputnik,Público,184,17,0
2021-02-17,51 a 60,F,Sputnik,Público nacional,19,8,0
2021-02-17,51 a 60,M,Sputnik,Privado,37,3,0
2021-02-17,51 a 60,M,Sputnik,Público,88,7,0
2021-02-17,51 a 60,M,Sputnik,Público nacional,8,3,0
2021-02-17,61 a 70,F,Sputnik,Privado,16,0,0
2021-02-17,61 a 70,F,Sputnik,Público,79,1,0
2021-02-17,61 a 70,F,Sputnik,Público nacional,10,0,0
2021-02-17,61 a 70,M,Sputnik,Privado,28,0,0
2021-02-17,61 a 70,M,Sputnik,Público,64,1,0
2021-02-17,61 a 70,M,Sputnik,Público nacional,5,0,0
2021-02-17,71 a 80,F,Sputnik,Público,4,0,0
2021-02-17,71 a 80,M,Sputnik,Privado,8,0,0
2021-02-17,71 a 80,M,Sputnik,Público,4,0,0
2021-02-18,30 o menos,F,Sputnik,Privado,190,11,0
2021-02-18,30 o menos,F,Sputnik,Público,272,21,0
